fecha,ccaa,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,deceased,hospitalizated,UCI,Población
2020-01-07,Catalunya,0,0,0,0,0,0,0,1,0,7778362
2020-01-07,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-07,Comunitat Valenciana,0,0,0,0,0,0,0,0,0,5054796
2020-01-07,España,0,0,0,0,0,0,0,5,0,47431256
2020-01-07,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-07,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-07,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-07,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-07,Madrid,0,0,0,0,0,0,0,3,0,6778382
2020-01-07,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-07,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-07,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-07,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-08,Andalucía,0,0,0,0,0,0,0,0,0,8460261
2020-01-08,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-08,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-08,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-08,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-08,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-08,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-08,Catalunya,0,0,0,0,0,0,0,1,0,7778362
2020-01-08,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-08,Comunitat Valenciana,0,0,0,0,0,0,0,1,0,5054796
2020-01-08,España,1,0,0,1,0,0,0,4,0,47431256
2020-01-08,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-08,Galicia,0,0,0,0,0,0,0,1,0,2700269
2020-01-08,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-08,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-08,Madrid,0,0,0,0,0,0,0,1,0,6778382
2020-01-08,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-08,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-08,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-08,País Vasco,1,0,0,1,0,0,0,0,0,2219777
2020-01-09,Andalucía,0,0,0,0,0,0,0,0,0,8460261
2020-01-09,Aragón,0,0,0,0,0,0,0,1,0,1328753
2020-01-09,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-09,Canarias,0,0,0,0,0,0,0,2,0,2174474
2020-01-09,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-09,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-09,Castilla-La Mancha,0,0,0,0,0,0,0,1,0,2044408
2020-01-09,Catalunya,0,0,0,0,0,0,0,2,0,7778362
2020-01-09,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-09,Comunitat Valenciana,0,0,0,0,0,0,0,0,0,5054796
2020-01-09,España,0,0,0,0,0,0,0,8,0,47431256
2020-01-09,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-09,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-09,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-09,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-09,Madrid,0,0,0,0,0,0,0,1,0,6778382
2020-01-09,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-09,Murcia,0,0,0,0,0,0,0,1,0,1510951
2020-01-09,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-09,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-10,Andalucía,0,0,0,0,0,0,0,0,0,8460261
2020-01-10,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-10,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-10,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-10,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-10,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-10,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-10,Catalunya,0,0,0,0,0,0,0,4,0,7778362
2020-01-10,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-10,Comunitat Valenciana,0,0,0,0,0,0,0,1,0,5054796
2020-01-10,España,1,1,0,0,0,0,0,9,0,47431256
2020-01-10,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-10,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-10,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-10,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-10,Madrid,1,1,0,0,0,0,0,4,0,6778382
2020-01-10,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-10,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-10,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-10,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-11,Andalucía,0,0,0,0,0,0,0,2,0,8460261
2020-01-11,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-11,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-11,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-11,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-11,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-11,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-11,Catalunya,0,0,0,0,0,0,0,0,0,7778362
2020-01-11,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-11,Comunitat Valenciana,0,0,0,0,0,0,0,1,0,5054796
2020-01-11,España,1,1,0,0,0,0,0,6,1,47431256
2020-01-11,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-11,Galicia,0,0,0,0,0,0,0,0,1,2700269
2020-01-11,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-11,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-11,Madrid,1,1,0,0,0,0,0,0,0,6778382
2020-01-11,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-11,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-11,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-11,País Vasco,0,0,0,0,0,0,0,3,0,2219777
2020-01-12,Andalucía,0,0,0,0,0,0,0,1,0,8460261
2020-01-12,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-12,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-12,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-12,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-12,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-12,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-12,Catalunya,0,0,0,0,0,0,0,0,0,7778362
2020-01-12,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-12,Comunitat Valenciana,0,0,0,0,0,0,0,4,0,5054796
2020-01-12,España,1,1,0,0,0,0,0,6,0,47431256
2020-01-12,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-12,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-12,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-12,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-12,Madrid,1,1,0,0,0,0,0,0,0,6778382
2020-01-12,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-12,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-12,Navarra,0,0,0,0,0,0,0,1,0,660887
2020-01-12,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-13,Andalucía,0,0,0,0,0,0,0,1,0,8460261
2020-01-13,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-13,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-13,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-13,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-13,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-13,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-13,Catalunya,0,0,0,0,0,0,0,0,0,7778362
2020-01-13,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-13,Comunitat Valenciana,0,0,0,0,0,0,0,4,0,5054796
2020-01-13,España,2,2,0,0,0,0,0,8,0,47431256
2020-01-13,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-13,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-13,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-13,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-13,Madrid,2,2,0,0,0,0,0,2,0,6778382
2020-01-13,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-13,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-13,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-13,País Vasco,0,0,0,0,0,0,0,1,0,2219777
2020-01-14,Andalucía,0,0,0,0,0,0,0,1,0,8460261
2020-01-14,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-14,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-14,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-14,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-14,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-14,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-14,Catalunya,0,0,0,0,0,0,0,2,1,7778362
2020-01-14,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-14,Comunitat Valenciana,0,0,0,0,0,0,0,1,0,5054796
2020-01-14,España,0,0,0,0,0,0,0,11,1,47431256
2020-01-14,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-14,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-14,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-14,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-14,Madrid,0,0,0,0,0,0,0,6,0,6778382
2020-01-14,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-14,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-14,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-14,País Vasco,0,0,0,0,0,0,0,1,0,2219777
2020-01-15,Andalucía,0,0,0,0,0,0,0,1,0,8460261
2020-01-15,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-15,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-15,Canarias,0,0,0,0,0,0,0,1,0,2174474
2020-01-15,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-15,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-15,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-15,Catalunya,0,0,0,0,0,0,0,3,0,7778362
2020-01-15,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-15,Comunitat Valenciana,0,0,0,0,0,0,0,0,0,5054796
2020-01-15,España,1,1,0,0,0,0,0,11,1,47431256
2020-01-15,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-15,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-15,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-15,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-15,Madrid,1,1,0,0,0,0,0,6,1,6778382
2020-01-15,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-15,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-15,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-15,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-16,Andalucía,0,0,0,0,0,0,0,0,0,8460261
2020-01-16,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-16,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-16,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-16,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-16,Castilla y León,0,0,0,0,0,0,0,1,0,2393285
2020-01-16,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-16,Catalunya,0,0,0,0,0,0,0,0,0,7778362
2020-01-16,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-16,Comunitat Valenciana,0,0,0,0,0,0,0,0,0,5054796
2020-01-16,España,1,1,0,0,0,0,0,5,0,47431256
2020-01-16,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-16,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-16,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-16,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-16,Madrid,1,1,0,0,0,0,0,4,0,6778382
2020-01-16,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-16,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-16,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-16,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-17,Andalucía,0,0,0,0,0,0,0,0,0,8460261
2020-01-17,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-17,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-17,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-17,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-17,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-17,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-17,Catalunya,0,0,0,0,0,0,0,1,0,7778362
2020-01-17,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-17,Comunitat Valenciana,0,0,0,0,0,0,0,0,0,5054796
2020-01-17,España,1,1,0,0,0,0,0,4,0,47431256
2020-01-17,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-17,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-17,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-17,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-17,Madrid,1,1,0,0,0,0,0,3,0,6778382
2020-01-17,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-17,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-17,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-17,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-18,Andalucía,0,0,0,0,0,0,0,0,0,8460261
2020-01-18,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-18,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-18,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-18,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-18,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-18,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-18,Catalunya,0,0,0,0,0,0,0,0,0,7778362
2020-01-18,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-18,Comunitat Valenciana,0,0,0,0,0,0,0,1,0,5054796
2020-01-18,España,2,2,0,0,0,0,0,6,0,47431256
2020-01-18,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-18,Galicia,0,0,0,0,0,0,0,1,0,2700269
2020-01-18,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-18,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-18,Madrid,2,2,0,0,0,0,0,4,0,6778382
2020-01-18,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-18,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-18,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-18,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-19,Andalucía,0,0,0,0,0,0,0,1,0,8460261
2020-01-19,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-19,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-19,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-19,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-19,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-19,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-19,Catalunya,0,0,0,0,0,0,0,1,0,7778362
2020-01-19,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-19,Comunitat Valenciana,0,0,0,0,0,0,0,2,0,5054796
2020-01-19,España,0,0,0,0,0,0,0,5,1,47431256
2020-01-19,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-19,Galicia,0,0,0,0,0,0,0,1,1,2700269
2020-01-19,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-19,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-19,Madrid,0,0,0,0,0,0,0,0,0,6778382
2020-01-19,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-19,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-19,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-19,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-20,Andalucía,0,0,0,0,0,0,0,0,0,8460261
2020-01-20,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-20,Asturias,0,0,0,0,0,0,0,1,0,1018706
2020-01-20,Canarias,0,0,0,0,0,0,0,1,0,2174474
2020-01-20,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-20,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-20,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-20,Catalunya,0,0,0,0,0,0,0,4,0,7778362
2020-01-20,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-20,Comunitat Valenciana,0,0,0,0,0,0,0,1,0,5054796
2020-01-20,España,3,3,0,0,0,0,0,9,0,47431256
2020-01-20,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-20,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-20,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
